Платформа;Блок;Действие;Event Category;Event Action;Event Name;Event Value;dimension7;dimension23;dimension10;dimension11;dimension12;dimension14;dimension21;dimension22;dimension26;dimension27;dimension33;dimension34;dimension36;dimension37
iOS, Android, Web;Окно успешной оплаты;Клик копировать номер брони;Payment;Success_ClickCopy;;;id брони;ID Города Суточно;Количество бонусов на счету пользователя;Сумма кэшбэка объекта;Добавлен ли объект в избранное на момент бронирования;Рэйтинг объекта;Тип объекта (Hotel, Appart);Тип бронирования (Fast, Reqest);ID Страны к которой относится объект;Валюта объекта (RUB, USD, ...);Состав гостей;Модель оплаты (100/20);Дата заезда (DD.MM.YYYY);Дата выезда (DD.MM.YYYY)
iOS, Android, Web;Окно успешной оплаты;Клик скачать ваучер;Payment;Success_ClickDownload;;;id брони;ID Города Суточно;Количество бонусов на счету пользователя;Сумма кэшбэка объекта;Добавлен ли объект в избранное на момент бронирования;Рэйтинг объекта;Тип объекта (Hotel, Appart);Тип бронирования (Fast, Reqest);ID Страны к которой относится объект;Валюта объекта (RUB, USD, ...);Состав гостей;Модель оплаты (100/20);Дата заезда (DD.MM.YYYY);Дата выезда (DD.MM.YYYY)
iOS, Android, Web;Окно успешной оплаты;Сохранить в календарь Выключение;Payment;Success_SaveCalendar_SwitchOff;;;id брони;ID Города Суточно;Количество бонусов на счету пользователя;Сумма кэшбэка объекта;Добавлен ли объект в избранное на момент бронирования;Рэйтинг объекта;Тип объекта (Hotel, Appart);Тип бронирования (Fast, Reqest);ID Страны к которой относится объект;Валюта объекта (RUB, USD, ...);Состав гостей;Модель оплаты (100/20);Дата заезда (DD.MM.YYYY);Дата выезда (DD.MM.YYYY)
iOS, Android, Web;Окно успешной оплаты;Сохранить в календарь включение;Payment;Success_SaveCalendar_SwitchOn;;;id брони;ID Города Суточно;Количество бонусов на счету пользователя;Сумма кэшбэка объекта;Добавлен ли объект в избранное на момент бронирования;Рэйтинг объекта;Тип объекта (Hotel, Appart);Тип бронирования (Fast, Reqest);ID Страны к которой относится объект;Валюта объекта (RUB, USD, ...);Состав гостей;Модель оплаты (100/20);Дата заезда (DD.MM.YYYY);Дата выезда (DD.MM.YYYY)
iOS, Android, Web;Окно успешной оплаты;Показ предложения сохранить в календарь;Payment;Success_SaveCalendar_ShowModal;;;id брони;ID Города Суточно;Количество бонусов на счету пользователя;Сумма кэшбэка объекта;Добавлен ли объект в избранное на момент бронирования;Рэйтинг объекта;Тип объекта (Hotel, Appart);Тип бронирования (Fast, Reqest);ID Страны к которой относится объект;Валюта объекта (RUB, USD, ...);Состав гостей;Модель оплаты (100/20);Дата заезда (DD.MM.YYYY);Дата выезда (DD.MM.YYYY)
iOS, Android, Web;Окно успешной оплаты;Согласие сохранить в календарь;Payment;Success_SaveCalendarModal_Yes;;;id брони;ID Города Суточно;Количество бонусов на счету пользователя;Сумма кэшбэка объекта;Добавлен ли объект в избранное на момент бронирования;Рэйтинг объекта;Тип объекта (Hotel, Appart);Тип бронирования (Fast, Reqest);ID Страны к которой относится объект;Валюта объекта (RUB, USD, ...);Состав гостей;Модель оплаты (100/20);Дата заезда (DD.MM.YYYY);Дата выезда (DD.MM.YYYY)
iOS, Android, Web;Окно успешной оплаты;Отказ сохранить в календарь;Payment;Success_SaveCalendarModal_No;;;id брони;ID Города Суточно;Количество бонусов на счету пользователя;Сумма кэшбэка объекта;Добавлен ли объект в избранное на момент бронирования;Рэйтинг объекта;Тип объекта (Hotel, Appart);Тип бронирования (Fast, Reqest);ID Страны к которой относится объект;Валюта объекта (RUB, USD, ...);Состав гостей;Модель оплаты (100/20);Дата заезда (DD.MM.YYYY);Дата выезда (DD.MM.YYYY)
;Окно успешной оплаты;Клик написать сообщение;Payment;Success_ClickSendMessage;;;id брони;ID Города Суточно;Количество бонусов на счету пользователя;Сумма кэшбэка объекта;Добавлен ли объект в избранное на момент бронирования;Рэйтинг объекта;Тип объекта (Hotel, Appart);Тип бронирования (Fast, Reqest);ID Страны к которой относится объект;Валюта объекта (RUB, USD, ...);Состав гостей;Модель оплаты (100/20);Дата заезда (DD.MM.YYYY);Дата выезда (DD.MM.YYYY)
iOS, Android, Web;Окно успешной оплаты;Клик контакты хозяина;Payment;Success_ClickContact;;;id брони;ID Города Суточно;Количество бонусов на счету пользователя;Сумма кэшбэка объекта;Добавлен ли объект в избранное на момент бронирования;Рэйтинг объекта;Тип объекта (Hotel, Appart);Тип бронирования (Fast, Reqest);ID Страны к которой относится объект;Валюта объекта (RUB, USD, ...);Состав гостей;Модель оплаты (100/20);Дата заезда (DD.MM.YYYY);Дата выезда (DD.MM.YYYY)
iOS, Android, Web;Окно успешной оплаты;Клик перейти к деталям брони;Payment;Success_ClickOrderDetail;;;id брони;ID Города Суточно;Количество бонусов на счету пользователя;Сумма кэшбэка объекта;Добавлен ли объект в избранное на момент бронирования;Рэйтинг объекта;Тип объекта (Hotel, Appart);Тип бронирования (Fast, Reqest);ID Страны к которой относится объект;Валюта объекта (RUB, USD, ...);Состав гостей;Модель оплаты (100/20);Дата заезда (DD.MM.YYYY);Дата выезда (DD.MM.YYYY)
iOS, Android, Web;Окно успешной оплаты;Клик перейти в телеграм;Payment;Success_ClickTelegram;;;id брони;ID Города Суточно;Количество бонусов на счету пользователя;Сумма кэшбэка объекта;Добавлен ли объект в избранное на момент бронирования;Рэйтинг объекта;Тип объекта (Hotel, Appart);Тип бронирования (Fast, Reqest);ID Страны к которой относится объект;Валюта объекта (RUB, USD, ...);Состав гостей;Модель оплаты (100/20);Дата заезда (DD.MM.YYYY);Дата выезда (DD.MM.YYYY)
iOS, Android, Web;Окно успешной оплаты;Клик на крестик;Payment;Success_ClickClose;;;id брони;ID Города Суточно;Количество бонусов на счету пользователя;Сумма кэшбэка объекта;Добавлен ли объект в избранное на момент бронирования;Рэйтинг объекта;Тип объекта (Hotel, Appart);Тип бронирования (Fast, Reqest);ID Страны к которой относится объект;Валюта объекта (RUB, USD, ...);Состав гостей;Модель оплаты (100/20);Дата заезда (DD.MM.YYYY);Дата выезда (DD.MM.YYYY)
iOS, Android, Web;"Окно успешной оплаты
Подсказка дополнительные уведомления включены";Показ блока;Payment;Success_AdditionalNotices_Show;;;id брони;ID Города Суточно;Количество бонусов на счету пользователя;Сумма кэшбэка объекта;Добавлен ли объект в избранное на момент бронирования;Рэйтинг объекта;Тип объекта (Hotel, Appart);Тип бронирования (Fast, Reqest);ID Страны к которой относится объект;Валюта объекта (RUB, USD, ...);Состав гостей;Модель оплаты (100/20);Дата заезда (DD.MM.YYYY);Дата выезда (DD.MM.YYYY)
iOS, Android, Web;"Окно успешной оплаты
Подсказка дополнительные уведомления включены";Клик подробнее;Payment;Success_AdditionalNotices_ClickMore;;;id брони;ID Города Суточно;Количество бонусов на счету пользователя;Сумма кэшбэка объекта;Добавлен ли объект в избранное на момент бронирования;Рэйтинг объекта;Тип объекта (Hotel, Appart);Тип бронирования (Fast, Reqest);ID Страны к которой относится объект;Валюта объекта (RUB, USD, ...);Состав гостей;Модель оплаты (100/20);Дата заезда (DD.MM.YYYY);Дата выезда (DD.MM.YYYY)
iOS, Android, Web;"Окно успешной оплаты
Подсказка бесплатные уведомления";Показ блока;Payment;Success_FreeNotices_Show;;;id брони;ID Города Суточно;Количество бонусов на счету пользователя;Сумма кэшбэка объекта;Добавлен ли объект в избранное на момент бронирования;Рэйтинг объекта;Тип объекта (Hotel, Appart);Тип бронирования (Fast, Reqest);ID Страны к которой относится объект;Валюта объекта (RUB, USD, ...);Состав гостей;Модель оплаты (100/20);Дата заезда (DD.MM.YYYY);Дата выезда (DD.MM.YYYY)
iOS, Android, Web;"Окно успешной оплаты
Подсказка бесплатные уведомления";Клик как подключить;Payment;Success_FreeNotices_ClickMore;;;id брони;ID Города Суточно;Количество бонусов на счету пользователя;Сумма кэшбэка объекта;Добавлен ли объект в избранное на момент бронирования;Рэйтинг объекта;Тип объекта (Hotel, Appart);Тип бронирования (Fast, Reqest);ID Страны к которой относится объект;Валюта объекта (RUB, USD, ...);Состав гостей;Модель оплаты (100/20);Дата заезда (DD.MM.YYYY);Дата выезда (DD.MM.YYYY)
iOS, Android, Web;Всплывающие окно как подключить бесплатные уведомления;Показ окна;Payment;FreeNoticesModal_Show;;;id брони;ID Города Суточно;Количество бонусов на счету пользователя;Сумма кэшбэка объекта;Добавлен ли объект в избранное на момент бронирования;Рэйтинг объекта;Тип объекта (Hotel, Appart);Тип бронирования (Fast, Reqest);ID Страны к которой относится объект;Валюта объекта (RUB, USD, ...);Состав гостей;Модель оплаты (100/20);Дата заезда (DD.MM.YYYY);Дата выезда (DD.MM.YYYY)
iOS, Android, Web;Всплывающие окно как подключить бесплатные уведомления;клик телеграм;Payment;FreeNoticesModal_ClickTG;;;id брони;ID Города Суточно;Количество бонусов на счету пользователя;Сумма кэшбэка объекта;Добавлен ли объект в избранное на момент бронирования;Рэйтинг объекта;Тип объекта (Hotel, Appart);Тип бронирования (Fast, Reqest);ID Страны к которой относится объект;Валюта объекта (RUB, USD, ...);Состав гостей;Модель оплаты (100/20);Дата заезда (DD.MM.YYYY);Дата выезда (DD.MM.YYYY)
iOS, Android, Web;Всплывающие окно как подключить бесплатные уведомления;клик электронная почта;Payment;FreeNoticesModal_ClickEmail;;;id брони;ID Города Суточно;Количество бонусов на счету пользователя;Сумма кэшбэка объекта;Добавлен ли объект в избранное на момент бронирования;Рэйтинг объекта;Тип объекта (Hotel, Appart);Тип бронирования (Fast, Reqest);ID Страны к которой относится объект;Валюта объекта (RUB, USD, ...);Состав гостей;Модель оплаты (100/20);Дата заезда (DD.MM.YYYY);Дата выезда (DD.MM.YYYY)
iOS, Android, Web;Всплывающие окно как подключить бесплатные уведомления;закрыть;Payment;FreeNoticesModal_Close;;;id брони;ID Города Суточно;Количество бонусов на счету пользователя;Сумма кэшбэка объекта;Добавлен ли объект в избранное на момент бронирования;Рэйтинг объекта;Тип объекта (Hotel, Appart);Тип бронирования (Fast, Reqest);ID Страны к которой относится объект;Валюта объекта (RUB, USD, ...);Состав гостей;Модель оплаты (100/20);Дата заезда (DD.MM.YYYY);Дата выезда (DD.MM.YYYY)
iOS, Android, Web;Нажатие сохранить метод оплаты (снятие установка чекбокса);;Payment;SavePayment_Checked | SavePayment_UnChecked;;;id брони;ID Города Суточно;Количество бонусов на счету пользователя;Сумма кэшбэка объекта;Добавлен ли объект в избранное на момент бронирования;Рэйтинг объекта;Тип объекта (Hotel, Appart);Тип бронирования (Fast, Reqest);ID Страны к которой относится объект;Валюта объекта (RUB, USD, ...);Состав гостей;Модель оплаты (100/20);Дата заезда (DD.MM.YYYY);Дата выезда (DD.MM.YYYY)
iOS, Android, Web;Нажатие на выбор метода оплаты;;Payment;ClickChangePayment;;;id брони;ID Города Суточно;Количество бонусов на счету пользователя;Сумма кэшбэка объекта;Добавлен ли объект в избранное на момент бронирования;Рэйтинг объекта;Тип объекта (Hotel, Appart);Тип бронирования (Fast, Reqest);ID Страны к которой относится объект;Валюта объекта (RUB, USD, ...);Состав гостей;Модель оплаты (100/20);Дата заезда (DD.MM.YYYY);Дата выезда (DD.MM.YYYY)
iOS, Android, Web;Трипстер;Показ блока с предложениями в видимой области;Payment;Tripster_Show;;Кол-во объявлений;id брони;ID Города Суточно;Количество бонусов на счету пользователя;Сумма кэшбэка объекта;Добавлен ли объект в избранное на момент бронирования;Рэйтинг объекта;Тип объекта (Hotel, Appart);Тип бронирования (Fast, Reqest);ID Страны к которой относится объект;Валюта объекта (RUB, USD, ...);Состав гостей;Модель оплаты (100/20);Дата заезда (DD.MM.YYYY);Дата выезда (DD.MM.YYYY)
iOS, Android, Web;Трипстер;Показ объявления в видимой области;Payment;TripsterBanner_Show;Название объявления;;id брони;ID Города Суточно;Количество бонусов на счету пользователя;Сумма кэшбэка объекта;Добавлен ли объект в избранное на момент бронирования;Рэйтинг объекта;Тип объекта (Hotel, Appart);Тип бронирования (Fast, Reqest);ID Страны к которой относится объект;Валюта объекта (RUB, USD, ...);Состав гостей;Модель оплаты (100/20);Дата заезда (DD.MM.YYYY);Дата выезда (DD.MM.YYYY)
iOS, Android, Web;Трипстер;Клик по объявлению;Payment;TripsterBanner_Click;Название объявления;;id брони;ID Города;Количество бонусов на счету пользователя;Сумма кэшбэка объекта;Добавлен ли объект в избранное на момент бронирования;Рэйтинг объекта;Тип объекта (Hotel, Appart);Тип бронирования (Fast, Reqest);ID Страны к которой относится объект;Валюта объекта (RUB, USD, ...);Состав гостей;Модель оплаты (100/20);Дата заезда (DD.MM.YYYY);Дата выезда (DD.MM.YYYY)
iOS, Android, Web;Горбилет;Показ блока с мероприятиями в видимой области;Payment;Gorbilet_Show;;Кол-во объявлений;id брони;ID Города Суточно;Количество бонусов на счету пользователя;Сумма кэшбэка объекта;Добавлен ли объект в избранное на момент бронирования;Рэйтинг объекта;Тип объекта (Hotel, Appart);Тип бронирования (Fast, Reqest);ID Страны к которой относится объект;Валюта объекта (RUB, USD, ...);Состав гостей;Модель оплаты (100/20);Дата заезда (DD.MM.YYYY);Дата выезда (DD.MM.YYYY)
iOS, Android, Web;Горбилет;Показ карточки мероприятия в видимой области;Payment;GorbiletBanner_Show;Название объявления;showId;id брони;ID Города Суточно;Количество бонусов на счету пользователя;Сумма кэшбэка объекта;Добавлен ли объект в избранное на момент бронирования;Рэйтинг объекта;Тип объекта (Hotel, Appart);Тип бронирования (Fast, Reqest);ID Страны к которой относится объект;Валюта объекта (RUB, USD, ...);Состав гостей;Модель оплаты (100/20);Дата заезда (DD.MM.YYYY);Дата выезда (DD.MM.YYYY)
iOS, Android, Web;Горбилет;Клик на карточку мероприятия;Payment;GorbiletBanner_Click;Название объявления;showId;id брони;ID Города Суточно;Количество бонусов на счету пользователя;Сумма кэшбэка объекта;Добавлен ли объект в избранное на момент бронирования;Рэйтинг объекта;Тип объекта (Hotel, Appart);Тип бронирования (Fast, Reqest);ID Страны к которой относится объект;Валюта объекта (RUB, USD, ...);Состав гостей;Модель оплаты (100/20);Дата заезда (DD.MM.YYYY);Дата выезда (DD.MM.YYYY)
